CustomerID,Cluster
C0001,4
C0002,1
C0003,4
C0004,2
C0005,1
C0006,4
C0007,1
C0008,2
C0009,3
C0010,1
C0011,4
C0012,2
C0013,2
C0014,3
C0015,3
C0016,4
C0017,2
C0018,2
C0019,1
C0020,3
C0021,2
C0022,4
C0023,4
C0024,4
C0025,1
C0026,4
C0027,1
C0028,0
C0029,1
C0030,1
C0031,1
C0032,3
C0033,3
C0034,4
C0035,1
C0036,1
C0037,4
C0038,1
C0039,4
C0040,4
C0041,2
C0042,1
C0043,3
C0044,1
C0045,2
C0046,2
C0047,1
C0048,4
C0049,4
C0050,1
C0051,2
C0052,1
C0053,2
C0054,0
C0055,1
C0056,4
C0057,4
C0058,3
C0059,2
C0060,3
C0061,1
C0062,1
C0063,3
C0064,4
C0065,0
C0066,1
C0067,4
C0068,2
C0069,1
C0070,1
C0071,3
C0072,4
C0073,1
C0074,1
C0075,0
C0076,1
C0077,3
C0078,3
C0079,4
C0080,3
C0081,4
C0082,0
C0083,3
C0084,2
C0085,1
C0086,1
C0087,2
C0088,1
C0089,1
C0090,4
C0091,4
C0092,1
C0093,2
C0094,1
C0095,3
C0096,2
C0097,3
C0098,4
C0099,2
C0100,4
C0101,2
C0102,2
C0103,1
C0104,2
C0105,4
C0106,4
C0107,4
C0108,4
C0109,0
C0110,3
C0111,1
C0112,1
C0113,2
C0114,2
C0115,1
C0116,1
C0117,4
C0118,1
C0119,3
C0120,1
C0121,3
C0122,2
C0123,3
C0124,2
C0125,1
C0126,4
C0127,1
C0128,3
C0129,1
C0130,3
C0131,1
C0132,1
C0133,1
C0134,4
C0135,1
C0136,2
C0137,1
C0138,2
C0139,4
C0140,3
C0141,0
C0142,1
C0143,2
C0144,3
C0145,2
C0146,1
C0147,4
C0148,2
C0149,4
C0150,3
C0151,3
C0152,1
C0153,2
C0154,4
C0155,2
C0156,0
C0157,1
C0158,1
C0159,1
C0160,4
C0161,4
C0162,2
C0163,2
C0164,1
C0165,0
C0166,1
C0167,1
C0168,4
C0169,2
C0170,4
C0171,4
C0172,1
C0173,2
C0174,1
C0175,0
C0176,1
C0177,1
C0178,1
C0179,4
C0181,4
C0182,2
C0183,4
C0184,1
C0185,1
C0186,1
C0187,4
C0188,2
C0189,1
C0190,4
C0191,1
C0192,1
C0193,1
C0194,4
C0195,4
C0196,4
C0197,1
C0198,3
C0199,1
C0200,4
