CustomerID,Lookalikes
C0001,"[('C0085', np.float64(0.9999990504724361)), ('C0042', np.float64(0.9998215747742084)), ('C0089', np.float64(0.9997850140987701))]"
C0002,"[('C0157', np.float64(0.9999942410168485)), ('C0166', np.float64(0.999875010843091)), ('C0029', np.float64(0.9998254255985104))]"
C0003,"[('C0111', np.float64(0.9940081095432594)), ('C0160', np.float64(0.9904545038572361)), ('C0147', np.float64(0.9876382719212549))]"
C0004,"[('C0162', np.float64(0.9999999965087093)), ('C0165', np.float64(0.9999594720114721)), ('C0090', np.float64(0.9986409558134951))]"
C0005,"[('C0080', np.float64(0.9999822355480511)), ('C0167', np.float64(0.9999750393711484)), ('C0177', np.float64(0.9999281138035957))]"
C0006,"[('C0079', np.float64(0.9999656845154901)), ('C0117', np.float64(0.9956703718685657)), ('C0196', np.float64(0.9903168212584458))]"
C0007,"[('C0146', np.float64(0.9999895943808703)), ('C0125', np.float64(0.9998372825489154)), ('C0061', np.float64(0.9997162141129127))]"
C0008,"[('C0109', np.float64(0.9998419065580372)), ('C0136', np.float64(0.9995449075266115)), ('C0124', np.float64(0.9988501083510457))]"
C0009,"[('C0015', np.float64(0.9999998280836607)), ('C0131', np.float64(0.9999969915843525)), ('C0193', np.float64(0.9999942852290301))]"
C0010,"[('C0176', np.float64(0.9977495907269391)), ('C0027', np.float64(0.9933907927482107)), ('C0030', np.float64(0.9784025791083272))]"
C0011,"[('C0139', np.float64(0.9995752579210655)), ('C0100', np.float64(0.9992186065437542)), ('C0023', np.float64(0.9981601131570049))]"
C0012,"[('C0101', np.float64(0.999958735499151)), ('C0156', np.float64(0.9998710212245943)), ('C0093', np.float64(0.9998427725809736))]"
C0013,"[('C0067', np.float64(0.9998962934726959)), ('C0138', np.float64(0.9998109989494287)), ('C0141', np.float64(0.9997829345234197))]"
C0014,"[('C0192', np.float64(0.999999195523505)), ('C0159', np.float64(0.9999990484005253)), ('C0186', np.float64(0.999979545291725))]"
C0015,"[('C0009', np.float64(0.9999998280836607)), ('C0131', np.float64(0.9999982579939216)), ('C0120', np.float64(0.9999928702070295))]"
C0016,"[('C0154', np.float64(0.9993683855686599)), ('C0040', np.float64(0.9960728766406054)), ('C0026', np.float64(0.993943060754397))]"
C0017,"[('C0075', np.float64(0.9999997918900845)), ('C0179', np.float64(0.999792419915155)), ('C0039', np.float64(0.9997215280460565))]"
C0018,"[('C0045', np.float64(0.9999974739628396)), ('C0041', np.float64(0.9997600993045762)), ('C0068', np.float64(0.999404067327854))]"
C0019,"[('C0142', np.float64(0.9998871390943337)), ('C0174', np.float64(0.9998674238866583)), ('C0055', np.float64(0.9993745857345483))]"
C0020,"[('C0058', np.float64(0.9999997942980384)), ('C0193', np.float64(0.999998649644113)), ('C0198', np.float64(0.9999983115151304))]"
